,loss,acc,val_loss,val_acc
0,0.4549141778337835,0.7777777910232544,0.18294909104704857,0.932741105556488
1,0.2385528227641954,0.895100474357605,0.18992736220359802,0.9289340376853943
2,0.18096999251213505,0.9283919334411621,0.11300002310425043,0.960659921169281
3,0.15284274452638746,0.9403409361839294,0.11352080997079611,0.9543147087097168
4,0.12138233351142112,0.9488065242767334,0.0988083091378212,0.9600253701210022
5,0.09967362109647336,0.9635152220726013,0.0798866456723772,0.970812201499939
6,0.08746471392423516,0.9640151262283325,0.08885302540729753,0.9727157354354858
7,0.07076143402250568,0.9736180901527405,0.09428891113260761,0.9657360315322876
8,0.07266166894907254,0.9707914590835571,0.08702636187139433,0.9695431590080261
9,0.04569512673634848,0.9832702279090881,0.08644049076247029,0.9720812439918518
10,0.04824625044200344,0.9832702279090881,0.11030476055282634,0.971446692943573
11,0.06965163728043512,0.9782196879386902,0.10314816747355508,0.9701776504516602
12,0.05174537512881216,0.9809374809265137,0.2956600244063884,0.9206852912902832
13,0.03936557280989787,0.9867424368858337,0.10244270382492687,0.970812201499939
14,0.04532833070808203,0.9826388955116272,0.13521785629855004,0.9657360315322876
15,0.04436493458196488,0.9871231317520142,0.0920075930879102,0.971446692943573
16,0.04488302676680067,0.9832702279090881,0.20276728456638238,0.9619289636611938
17,0.035550451878637,0.9880050420761108,0.112842039334937,0.970812201499939
18,0.027391810389001615,0.9912060499191284,0.10362339385945234,0.9758883118629456
19,0.04796599776016217,0.9886934757232666,0.14001359087134005,0.960659921169281
20,0.021906332010616016,0.9907994866371155,0.13280211085039753,0.9733502268791199
21,0.03334215732258288,0.9874371886253357,0.0917974946636241,0.9739847779273987
22,0.03189158483255414,0.9864949584007263,0.13519831431971396,0.9651015400886536
23,0.029290405199086916,0.9895833134651184,0.12129792707273737,0.9701776504516602
24,0.028435080436191477,0.9905303120613098,0.1162921581802226,0.9663705825805664
25,0.02414349398804459,0.9908919334411621,0.12173948391191516,0.9752538204193115
26,0.02833658348715813,0.9898989796638489,0.11491023457203084,0.9689086079597473
27,0.027671210304290088,0.9905303120613098,0.10596406573820331,0.970812201499939
28,0.01991139405348365,0.9943467378616333,0.12284017920634142,0.9765228629112244
29,0.030970455980790613,0.9876893758773804,0.11075537119657383,0.971446692943573
